Sr.No.,Manager,Entries,Ann_Ret,Ann_Vol,Sharpe_Ratio,Drawdown,Skewness,Kurtosis
90,GIRIK WEALTH ADVISORS PRIVATE LIMITED,31,-0.1031370594427683,0.2229907939774861,-0.7299954264698081,-0.3242144001444171,-0.8871032178738447,3.788575732678737
91,PRITHVI FINMART PRIVATE LIMITED,31,-0.21823796026037967,0.2940446324427417,-0.9213563407682395,-0.5886960217032086,-1.1258780139298115,7.058487468379414
92,SAMVITTI CAPITAL PRIVATE LIMITED,31,-0.026100914411401166,0.2403235691608161,-0.37649731754970717,-0.2938680878397113,-1.855921589885874,8.321642602197034
93,GHALLA BHANSALI STOCK BROKERS PRIVATE LIMITED,31,-0.07866046807540472,0.24668334937075548,-0.5668606915656892,-0.3730205500416834,-0.9467760693316828,5.792145146695621
94,SAMEEKSHA CAPITAL PRIVATE LIMITED,31,0.06030231648892714,0.2666214649829931,-0.03499497149663481,-0.245906,-0.8035275920351315,5.251912074513227
95,BUOYANT CAPITAL PRIVATE LIMITED,31,-0.1592217690063611,0.3439031170850152,-0.6272013875814167,-0.49652181684501395,-1.9021511537112996,9.361739636132802
96,CENTRUM BROKING LIMITED,31,-0.08625219925332184,0.20967867683672556,-0.700694644986999,-0.31490370493124376,-1.5619575765472193,6.963402825541911
97,RELIANCE CAPITAL ASSET MANAGEMENT LTD,31,-0.04048133122834774,0.13783980697569467,-0.7534875218086204,-0.1939002320167181,-1.4808321017434258,7.062997918007527
98,RELIANCE WEALTH MANAGEMENT LIMITED,31,-0.13002093899479306,0.20720219260267211,-0.9073602685080305,-0.3997350536516229,-1.2402600657047496,5.377398762475798
99,QUEST INVESTMENT ADVISORS PVT. LTD.,31,-0.08230171254852747,0.23376806716955867,-0.6127287345170552,-0.37685553847221265,-0.9790208441182018,5.921286386477565
100,CARE PORTFOLIO MANAGERS PRIVATE LIMITED,31,-0.21946321266223867,0.3392834782207179,-0.8019586943879391,-0.6211044312649949,0.2688816173521438,3.726815146168909
101,RENAISSANCE INVESTMENT MANAGERS PRIVATE LIMITED,31,-0.1174452255163988,0.2652853748482699,-0.6645949466681078,-0.410655490531239,-2.080943974427393,10.391199973333938
102,BELLWETHER CAPITAL PRIVATE LIMITED,31,-0.029946688807969468,0.25750783637308666,-0.36553459905555746,-0.3439672000000001,-2.017053743488781,8.882889660049194
103,GEOJIT FINANCIAL SERVICES LIMITED,31,-0.12129357282170583,0.24549031910483463,-0.7326807148212581,-0.44425177803681687,-1.1489918283699623,7.67142728251848
104,CAPSTOCKS AND SECURITIES (INDIA) PRIVATE,31,-0.10801161438053075,0.23785125685414565,-0.7037301812512641,-0.4131445109709266,-1.049770488454518,6.444001491573747
105,REVELATION PORTFOLIO MANAGEMENT PVT. LTD.,31,-0.08392182988992924,0.22067592027896418,-0.6559410589560181,-0.3662295113985601,-1.705542237252499,8.743691948410149
106,QRC INVESTMENT ADVISORS LLP ,31,-0.01202870248845278,0.16000550232474364,-0.48222261252737264,-0.2381801999999999,-2.4680425667072154,12.213320577084628
107,RIGHT HORIZONS PORTFOLIO MANAGEMENT PRIVATE LIMITED,31,-0.014626057215665345,0.13482490870291414,-0.5901709991660138,-0.1976395562405955,-1.0588360879077865,6.188669479872288
108,KRCHOKSEY SHARES AND SECURITIES PRIVATE LIMITED,31,-0.03786071680837666,0.256188925131435,-0.39633273881100983,-0.3490933106561205,-0.9650214009970874,6.426790229475726
109,Laburnum Capital Advisors Private Limited,31,-0.01674283583503733,0.15039845391147275,-0.542374960686175,-0.20364812861863738,-1.4538006769459477,6.792220137960124
110,CHONA FINANCIAL SERVICES PRIVATE LTD.,31,-0.02097673327818328,0.19461813180787418,-0.43976590410709754,-0.2178175443947609,-0.37811737349026003,3.4016001285225257
111,QUANTUM ADVISORS PVT.LTD.,31,-0.038662900692631896,0.21992839714545218,-0.46487516953904107,-0.3396926002686302,-1.1098922476707682,8.178208134769108
112,ATLAS INTEGRATED FINANCE LTD,31,-0.051234011810503355,0.16364976922605765,-0.6964875831616688,-0.2367252783330419,-0.9528599441339509,5.111014161916599
113,Scient Capital Private Limited,31,0.06531788693307972,0.053686011874302435,-0.08211531541867426,-0.0530634699999998,-0.7364486526996399,6.163784735626044
114,CONCEPT INVESTWELL PRIVATE LIMITED  ,31,-0.07418656145354341,0.22729177196381847,-0.5966814636446583,-0.35506620426741436,-1.8469443124595957,9.352927419390968
115,KARVY CAPITAL LIMITED,31,0.1003827598693261,0.015344768994151424,1.8610291053646264,-0.014499999999999971,-4.3576328741187105,23.07588860149734
116,PARAG PARIKH FINANCIAL ADVISORY SERVICES,31,0.07643753592099212,0.22150232993750182,0.026595563901629527,-0.23299999999999993,-1.6505572782089062,7.9903424453062675
117,CRESCITA INVESTMENT MANAGEMENT PRIVATE LIMITED,31,-0.19897461041827746,0.2962354932667045,-0.8535157086005396,-0.554050276224097,-0.847405004454802,6.049451530133288
118,Avestha Fund Management LLP,31,-0.019316936437583254,0.24281656796318354,-0.34638976488338896,-0.28940200000000005,-1.5950963363039146,7.999668039684437
119,SILVERARCH INVESTMENT ADVISERS PRIVATE LIMITED,31,-0.03654372088474189,0.22175076977718522,-0.4521142265255825,-0.30863336409843023,-1.6303982007569608,7.757196976174905
120,Green Lantern Capital LLP,31,-0.13104622770446062,0.2152511379461135,-0.8779318635366113,-0.42832921958691006,-0.8078731293416889,6.174209254925605
121,AVENDUS WEALTH MANAGEMENT PRIVATE LTD,31,-0.06082883111895232,0.2871746968636159,-0.42895137638408587,-0.38966546960590054,-1.6782498552031697,8.875684053687639
122,SIRIUS ADVISORS PRIVATE LIMITED,31,0.0755239738424398,0.19529144077175956,0.026052121765076933,-0.27708784465612607,0.18731898118908286,3.992304470336941
123,ESTEE ADVISORS PVT LTD.,31,0.10948633524513118,0.013737389525224283,2.701732256859531,-0.0001999999999997692,0.18175532947966283,3.5572283703995615
124,M/S JHP SECURITIES PRIVATE LIMITED,31,-0.12398764783641969,0.2350370145948876,-0.7759243831869889,-0.4402680465809262,-0.5755924241965032,5.926147510554291
125,ATS WEALTH MANAGERS PRIVATE LIMITED,31,-0.7293915515050247,0.5244152494114162,-1.4293678873572389,-0.9679215931912724,-1.5118877370782948,4.298412878841597
126,P.C.S SECURITIES LIMITED,31,-0.1396055729789537,0.32953292850296756,-0.5984540260249349,-0.5299038578444727,-1.121774696537447,7.447550325445022
127,SOLDIERS FIELD INVESTMENTS PRIVATE LIMITED,31,-0.0831778859153397,0.2734495280621624,-0.5270311443137665,-0.3949566730191885,-0.8740650251701257,5.386716252143076
